University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
Southern Cross University,Bachelor of Social Welfare,Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,3
University of Canberra,Bachelor of Communication in Advertising,Bachelor,Full-time,On Campus,"Canberra, ACT",31000,3
University of Tasmania,Bachelor of Engineering (Civil and Structural),Bachelor,Full-time,On Campus,"Hobart, Tasmania",33000,4
Griffith University,Bachelor of Aviation,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
Edith Cowan University,Bachelor of Science (Paramedical Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Southern Queensland,Bachelor of Laws,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,4
RMIT University,Bachelor of Information Technology(BIT) (Games and Graphics Programming),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Flinders University,Bachelor of Clinical Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,4
Curtin University,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Newcastle,Bachelor of Construction Management (Building),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",32000,4
University of South Australia,Bachelor of Software Engineering,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,4
Victoria University,Bachelor of Exercise Science (Clinical Practice),Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
Macquarie University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
University of Melbourne,Bachelor of Biomedicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of New South Wales,Bachelor of Environmental Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Bond University,Bachelor of Social Science (Psychology),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
James Cook University,Bachelor of Engineering (Civil),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
Southern Cross University,Bachelor of Contemporary Music,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
Australian National University,Bachelor of Philosophy (Science),Bachelor,Full-time,On Campus,"Canberra, ACT",35000,4
University of South Australia,Bachelor of Communication and Media,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
Curtin University,Bachelor of Medicine and Bachelor of Surgery,Bachelor,Full-time,On Campus,"Perth, Western Australia",37000,5
University of Queensland,Bachelor of Science (Zoology),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
Flinders University,Bachelor of Tourism and Events,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Technology Sydney,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Macquarie University,Bachelor of Medical Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Tasmania,Bachelor of Geology,Bachelor,Full-time,On Campus,"Hobart, Tasmania",31000,3
Murdoch University,Bachelor of Creative Media (Sound),Bachelor,Full-time,On Campus,"Perth, Western Australia",29000,3
University of Western Australia,Bachelor of Philosophy (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",36000,4
University of Canberra,Bachelor of Medical Imaging,Bachelor,Full-time,On Campus,"Canberra, ACT",32000,4
CQUniversity,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
Victoria University,Bachelor of Science (Biomedicine),Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
RMIT University,Bachelor of Chemical Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,4
University of Notre Dame Australia,Bachelor of Exercise and Sport Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Edith Cowan University,Bachelor of Science (Environmental Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Newcastle,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",32000,3
University of Queensland,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Bond University,Bachelor of Business (International Business),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
James Cook University,Bachelor of Veterinary Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",36000,5
University of Tasmania,Bachelor of Exercise and Sport Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",30000,3
Southern Cross University,Bachelor of Arts (History and Politics),Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,3
University of New South Wales,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Western Australia,Bachelor of Economics,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Flinders University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
University of Melbourne,Bachelor of Science (Genetics),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Queensland,Bachelor of Music (Performance),Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
University of New South Wales,Bachelor of Civil Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,4
Bond University,Bachelor of Global Studies,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
University of South Australia,Bachelor of Creative Industries,Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
Flinders University,Bachelor of Nutrition and Dietetics,Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,4
University of Technology Sydney,Bachelor of Health Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Western Australia,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
CQUniversity,Bachelor of Digital Media (Interactive Media),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
Curtin University,Bachelor of Architecture,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Macquarie University,Bachelor of Cognitive and Brain Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Tasmania,Bachelor of Medical Laboratory Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,4
University of Canberra,Bachelor of Science (Biochemistry),Bachelor,Full-time,On Campus,"Canberra, ACT",30000,3
Griffith University,Bachelor of Laws (Graduate Entry),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
RMIT University,Bachelor of Environmental Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,4
Southern Cross University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,4
University of New England,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",29000,3
Murdoch University,Bachelor of Digital Media and Communications,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of Sydney,Bachelor of Applied Science (Physiotherapy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,4
University of Queensland,Bachelor of Business Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Bond University,Bachelor of Jurisprudence,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",34000,3
University of Southern Queensland,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
Flinders University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
James Cook University,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
Australian National University,Bachelor of Software Engineering,Bachelor,Full-time,On Campus,"Canberra, ACT",35000,4
University of Adelaide,Bachelor of Finance,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of New South Wales,Bachelor of Science (Chemistry),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Canberra,Bachelor of Applied Economics,Bachelor,Full-time,On Campus,"Canberra, ACT",31000,3
University of New South Wales,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Queensland,Bachelor of Arts (English Literature),Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Bond University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",34000,4
James Cook University,Bachelor of Advanced Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
University of Technology Sydney,Bachelor of Architecture and Environments,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Adelaide,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Victoria University,Bachelor of Law and Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,4
Flinders University,Bachelor of Public Health,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
University of Tasmania,Bachelor of Paramedic Practice,Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,3
Murdoch University,Bachelor of Community Development,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of Southern Queensland,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of New England,Bachelor of Music,Bachelor,Full-time,On Campus,"Armidale, New South Wales",30000,3
Curtin University,Bachelor of Science (Health Promotion),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Macquarie University,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
CQUniversity,Bachelor of Medical Imaging,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",30000,4
University of Western Australia,Bachelor of Physics,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Australian National University,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
University of Melbourne,Bachelor of Fine Arts (Screenwriting),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Griffith University,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Sydney,Bachelor of Speech Pathology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
RMIT University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Adelaide,Bachelor of Economics (Advanced),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
University of Queensland,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,4
James Cook University,Bachelor of Planning,Bachelor,Full-time,On Campus,"Townsville, Queensland",32000,4
Southern Cross University,Bachelor of Indigenous Knowledge,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
Flinders University,Bachelor of Creative Arts (Visual Effects),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Tasmania,Bachelor of Fine Arts (Sculpture),Bachelor,Full-time,On Campus,"Hobart, Tasmania",31000,3
Curtin University,Bachelor of Actuarial Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Melbourne,Bachelor of Biomedicine (Neuroscience),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Western Australia,Bachelor of Marine and Freshwater Biology,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of New South Wales,Bachelor of Environmental Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,4
University of Adelaide,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Bond University,Bachelor of Business (Tourism Management),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
Curtin University,Bachelor of Business (Entrepreneurship),Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
James Cook University,Bachelor of Veterinary Technology,Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,3
University of Queensland,Bachelor of Communication (Journalism),Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
University of Technology Sydney,Bachelor of Data Science and Innovation,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Flinders University,Bachelor of Medical Science (Laboratory Medicine),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,4
Southern Cross University,Bachelor of Marine Science and Management,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
Victoria University,Bachelor of Exercise Science (Sport Practice),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Canberra,Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Canberra, ACT",31000,3
CQUniversity,Bachelor of Laws (Criminal Justice),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",30000,4
University of New England,Bachelor of Rural Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",29000,3
University of South Australia,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Griffith University,Bachelor of Creative and Interactive Media,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Tasmania,Bachelor of Economics and Finance,Bachelor,Full-time,On Campus,"Hobart, Tasmania",31000,3
Murdoch University,Bachelor of Engineering (Renewable Energy),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,4
University of Queensland,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Bond University,Bachelor of Interactive Media and Design,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
