University of Queensland,Business Administration,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,500",3
University of Sydney,Computer Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Monash University,Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Melbourne,Film and Television,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Griffith University,Psychology,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,500",3
RMIT University,Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Digital Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Adelaide,Criminal Justice,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","29,000",3
La Trobe University,Health Sciences,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","34,000",3
Macquarie University,Law,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
Victoria University,Sports Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,500",3
Bond University,Public Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","34,500",3
University of Newcastle,Information Technology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,500",3
Swinburne University of Technology,Data Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Southern Queensland,Veterinary Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,000",3
University of Tasmania,Environmental Studies,B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","29,000",3
University of Canberra,Accounting and Finance,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","32,500",3
Western Sydney University,Economics and Law,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Sydney,Data Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Finance,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
Monash University,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","35,000",3
University of Melbourne,Psychology,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
Griffith University,Marine Biology,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","34,500",3
Australian National University,Business Economics,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
RMIT University,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Technology Sydney,Film Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Adelaide,Marketing,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","29,500",3
La Trobe University,Criminal Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Physics,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","32,000",3
Macquarie University,Information Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Bond University,Environmental Science,B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","29,000",3
University of Newcastle,Public Relations,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Creative Writing,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Southern Queensland,Sports Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,500",3
University of Tasmania,Law,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","35,000",3
University of Canberra,Media and Communication,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Construction Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
University of Queensland,Business Economics,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
University of Sydney,Marketing,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Monash University,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","34,500",3
University of Melbourne,Psychology,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
Griffith University,Environmental Science,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","28,500",3
Australian National University,Marine Biology,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
University of Technology Sydney,Data Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Public Health,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","31,000",3
La Trobe University,Finance,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Film and Television,Bachelor,Full-time,On Campus,"Perth, Western Australia, Australia","32,500",3
Macquarie University,Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Victoria University,Business Administration,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,000",3
Bond University,Digital Media,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,500",3
University of Newcastle,Human Resource Management,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,500",3
Swinburne University of Technology,Physics,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","28,500",3
University of Tasmania,Sports Management,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","30,000",3
University of Canberra,Journalism,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","29,500",3
Western Sydney University,Criminal Justice,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
University of Sydney,Philosophy,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
University of Queensland,Physics,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
University of Melbourne,Film and Television,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,500",3
Griffith University,Environmental Science,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","29,500",3
Australian National University,Computer Science,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Business Economics,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Technology Sydney,Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Adelaide,Marketing,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,Health Sciences,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,000",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","33,500",3
Macquarie University,Creative Writing,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
Victoria University,Journalism,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
Bond University,Public Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,000",3
University of Newcastle,Sports Management,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Digital Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Tasmania,Public Health,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","30,000",3
University of Canberra,Business Administration,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","32,500",3
Western Sydney University,Media Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
University of Queensland,Film and Television,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","33,500",3
University of Sydney,Business Administration,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Monash University,Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Melbourne,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
Griffith University,Public Health,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Marine Biology,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","29,500",3
RMIT University,Environmental Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Technology Sydney,Physics,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Adelaide,Digital Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,000",3
La Trobe University,Creative Writing,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Western Australia,Criminal Justice,Bachelor,Full-time,On Campus,"Perth, Western Australia, Australia","31,000",3
Macquarie University,Economics,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Victoria University,Finance,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Journalism,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,000",3
Swinburne University of Technology,Veterinary Medicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Southern Queensland,Data Science,B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,500",3
University of Tasmania,Sports Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","29,500",3
University of Canberra,Construction Management,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Media and Communication,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
University of Sydney,Nursing,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Mechanical Engineering,B.Eng.,Full-time,On Campus,"Brisbane, Queensland, Australia","34,000",3
Monash University,Philosophy,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Melbourne,Business Administration,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Criminal Justice,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Physics,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Law,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
La Trobe University,Economics,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","30,500",3
Victoria University,Film Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
Bond University,Journalism,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Finance,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","29,000",3
Swinburne University of Technology,Creative Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Southern Queensland,Digital Media,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,500",3
University of Tasmania,Sports Management,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","29,000",3
University of Canberra,Environmental Science,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Construction Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
University of Queensland,Environmental Science,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","30,500",3
University of Sydney,Creative Writing,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Monash University,Business Economics,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Melbourne,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
RMIT University,Information Technology,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Marketing,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Adelaide,Finance,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
University of Western Australia,Marine Science,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,000",3
Macquarie University,Human Resource Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Victoria University,Sports Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
